county	state	male	female	white	black	asian	hispanic	total_population	young	mid_age	senior
Fentress County	Tennessee	0.49151662	0.5084834	0.9823152	0.0031073778	0.002989768	0.012367612	323102	0.62315613	0.17267612	0.20416772
Butler County	Iowa	0.49540097	0.50459903	0.98348814	0.0025099244	0.0014746736	0.010747243	268534	0.6272241	0.16221783	0.21055807
Mercer County	Pennsylvania	0.49128297	0.508717	0.9179107	0.058018252	0.0016282179	0.012174103	2078346	0.61966634	0.17484048	0.20549321
Swisher County	Texas	0.5282374	0.4717626	0.8885011	0.07849305	0.013831438	0.4152304	139248	0.6413665	0.1847567	0.17387682
Sunflower County	Mississippi	0.52753323	0.47246677	0.25551552	0.7332305	0.002612254	0.015022433	506842	0.63575435	0.21791998	0.14632568
Raleigh County	West Virginia	0.5006061	0.49939385	0.88834995	0.082301855	0.0026313255	0.013895892	1412216	0.61530674	0.18914741	0.19554587
Trousdale County	Tennessee	0.49461037	0.50538963	0.88013697	0.09290085	0.0058808667	0.027158657	142496	0.6304528	0.18891056	0.18063664
Covington County	Mississippi	0.4870193	0.5129807	0.63168734	0.3552836	0.0016499679	0.02148372	351522	0.6398689	0.18465701	0.17547408
Tyler County	West Virginia	0.4924975	0.5075025	0.98752844	0.0022274987	0.0020806305	0.0064009987	163412	0.61193794	0.16898392	0.21907815
Orange County	North Carolina	0.47728324	0.52271676	0.77350855	0.12182339	0.0062779123	0.08229214	2470248	0.6321515	0.22122921	0.14661929
Kootenai County	Idaho	0.4933031	0.5066969	0.9503979	0.0035107518	0.013571356	0.040536523	2590898	0.632444	0.18497834	0.18257762
Warren County	Indiana	0.49994043	0.50005955	0.98371786	0.0017738242	0.0018664866	0.011476907	151086	0.624267	0.17459592	0.2011371
Mineral County	Nevada	0.48999542	0.5100046	0.7254581	0.043557823	0.16611688	0.09980497	83062	0.6026101	0.15381281	0.2435771
Wake County	North Carolina	0.48621127	0.51378876	0.6947147	0.21297766	0.008197366	0.098441504	17262130	0.6411018	0.22484039	0.13405785
Christian County	Illinois	0.50813323	0.49186677	0.9677523	0.015005721	0.0018732843	0.014487164	617098	0.6196747	0.18472755	0.19559778
Larimer County	Colorado	0.49698573	0.50301427	0.9347624	0.009851335	0.009953765	0.10829298	5662380	0.62304914	0.21422777	0.1627231
Woodruff County	Arkansas	0.47571743	0.5242826	0.7061927	0.27207544	0.0034903737	0.01460903	126634	0.62252635	0.16559534	0.21187833
Steuben County	Indiana	0.5062945	0.49370554	0.9742052	0.0068448447	0.0033022803	0.03161682	615938	0.6271297	0.18168224	0.19118807
Lincoln County	Oregon	0.4858977	0.5141023	0.9043281	0.006517421	0.039444774	0.083561964	834686	0.59557605	0.15243697	0.25198698
Turner County	Georgia	0.49301633	0.5069837	0.57359016	0.40689737	0.004145742	0.039181836	152928	0.63473004	0.18358967	0.18168026
Black Hawk County	Iowa	0.48797944	0.5120206	0.8657396	0.089978226	0.003447664	0.03977472	2377842	0.6274618	0.20725599	0.16528222
Orleans County	New York	0.49583188	0.5041681	0.9071178	0.0620387	0.007071089	0.044109	761976	0.61915207	0.1926793	0.18816866
Carroll County	Iowa	0.48814014	0.51185983	0.9775324	0.006529099	0.002332205	0.019898973	372180	0.6330888	0.1665162	0.20039497
Park County	Montana	0.4996857	0.5003143	0.96604866	0.0023378183	0.01014938	0.023992654	283170	0.60493696	0.17317513	0.22188792
Carbon County	Montana	0.5055541	0.4944459	0.9711643	0.004467197	0.010629972	0.022075128	184008	0.60449004	0.15343899	0.242071
Rutland County	Vermont	0.4925639	0.5074361	0.97096336	0.005775505	0.0027121832	0.012436173	1093584	0.60917133	0.17670521	0.21412347
Bergen County	New Jersey	0.48310965	0.51689035	0.754446	0.06673752	0.0039964756	0.17478144	16564596	0.62199366	0.19414249	0.18386383
Oglala Lakota County	South Dakota	0.49021772	0.5097823	0.03867697	0.0014994764	0.947193	0.029703913	252088	0.7114896	0.19434087	0.0941695
Vilas County	Wisconsin	0.5061467	0.49385327	0.86866695	0.002487782	0.11277079	0.017009364	385082	0.59568614	0.13783298	0.2664809
Montgomery County	Indiana	0.5044464	0.49555364	0.9682111	0.009775584	0.003761633	0.04574857	686404	0.6322399	0.18513004	0.18263005
Lavaca County	Texas	0.48845702	0.511543	0.90952194	0.069394834	0.0053406977	0.1703888	350516	0.6269871	0.15690011	0.21611282
Ouray County	Colorado	0.4974054	0.5025946	0.970887	0.0015591882	0.004994275	0.053572733	82094	0.5953419	0.14085074	0.26380736
Osborne County	Kansas	0.5019192	0.49808082	0.97389317	0.002314747	0.005713616	0.015646517	68258	0.61525387	0.14817311	0.236573
Major County	Oklahoma	0.49220818	0.5077918	0.9366914	0.0071522025	0.027169647	0.08485245	137580	0.63237387	0.1649513	0.2026748
Medina County	Texas	0.5159361	0.48406395	0.9436428	0.02544678	0.009242018	0.5042191	848516	0.63834506	0.18685447	0.17480047
Tishomingo County	Mississippi	0.4841176	0.5158824	0.96011776	0.02620539	0.0038711217	0.027626507	351836	0.62428516	0.17852068	0.19719414
Floyd County	Virginia	0.5032919	0.4967081	0.9630531	0.019119622	0.001651338	0.026909629	278562	0.615407	0.17248584	0.21210718
Flathead County	Montana	0.49818423	0.50181574	0.956509	0.0030774155	0.012333546	0.024417507	1674782	0.6246455	0.17748639	0.19786814
Midland County	Texas	0.4967147	0.5032853	0.8899357	0.06784583	0.010841678	0.40517855	2659736	0.6516718	0.2062389	0.14208929
Racine County	Wisconsin	0.4949843	0.5050157	0.8441355	0.116068736	0.005561666	0.12074751	3511178	0.63314533	0.19026805	0.1765866
Bent County	Colorado	0.6539428	0.34605718	0.86517936	0.07512293	0.030522674	0.31140047	109820	0.58938265	0.23414679	0.1764706
Emmet County	Michigan	0.49280703	0.50719297	0.92872864	0.006187091	0.03746346	0.014369038	592524	0.6188779	0.17056186	0.21056025
Pike County	Kentucky	0.49057463	0.5094254	0.98033744	0.006675551	0.0010539427	0.007469928	1148070	0.6195981	0.19457872	0.18582316
Loudoun County	Virginia	0.49434924	0.50565076	0.71939147	0.075960055	0.0045519657	0.12962337	6158658	0.6595305	0.2216642	0.11880527
Brazoria County	Texas	0.50710565	0.49289432	0.7833193	0.12993683	0.007863422	0.28632522	5904300	0.64848226	0.20880087	0.14271684
Webster County	Mississippi	0.48924702	0.510753	0.7908829	0.19601692	0.0024631901	0.0122496765	181066	0.6334983	0.18236996	0.18413176
Vigo County	Indiana	0.5069859	0.49301407	0.8851904	0.07051432	0.0036158555	0.02410776	1944768	0.62552243	0.21003123	0.16444635
Bryan County	Oklahoma	0.4891185	0.5108815	0.7691412	0.016694808	0.13612945	0.053082626	786472	0.6318992	0.19394206	0.17415878
North Slope Borough	Alaska	0.6232526	0.37674743	0.33555117	0.011974035	0.5340791	0.033545844	172540	0.63648427	0.22043005	0.14308566
Grant County	Arkansas	0.49749973	0.50250024	0.9545997	0.02446487	0.004660564	0.023550063	323566	0.62997967	0.19050828	0.17951207
Carter County	Tennessee	0.48951724	0.5104827	0.96837926	0.013933472	0.0024323645	0.016007219	1026162	0.6093677	0.18839325	0.20223902
Santa Cruz County	Arizona	0.47708136	0.52291864	0.96691763	0.0069643287	0.011848588	0.83075947	845164	0.66265243	0.17033263	0.16701493
Oswego County	New York	0.49965993	0.5003401	0.9665425	0.009408694	0.00470068	0.022620648	2181812	0.63095397	0.19482888	0.17421712
Walworth County	Wisconsin	0.50039643	0.49960357	0.96246296	0.01136473	0.0043481695	0.10673999	1849054	0.63014275	0.19354762	0.17630962
Russell County	Virginia	0.4896933	0.5103067	0.9799	0.008942917	0.002186743	0.010714258	510348	0.6099838	0.18302609	0.20699014
Cook County	Illinois	0.484595	0.51540494	0.6579142	0.2481273	0.0075723543	0.24512734	93883614	0.6285049	0.21715504	0.15434012
Chippewa County	Wisconsin	0.51915723	0.48084277	0.95440626	0.016000649	0.005757836	0.014244738	1134454	0.62566924	0.18944268	0.18488806
Lehigh County	Pennsylvania	0.486173	0.513827	0.8531115	0.08162514	0.0077781724	0.20620415	6393790	0.6292657	0.19349213	0.17724213
Quitman County	Mississippi	0.4776229	0.5223771	0.28735048	0.698061	0.0025279273	0.009433829	141618	0.6404412	0.18376902	0.1757898
Tom Green County	Texas	0.49323922	0.5067608	0.9122655	0.04476111	0.010774105	0.3710471	2048430	0.636959	0.20257807	0.16046289
Coconino County	Arizona	0.49459073	0.50540924	0.66376436	0.013715129	0.27819675	0.13647783	2455974	0.64231586	0.21718755	0.1404966
Jefferson County	Arkansas	0.49210772	0.5078923	0.41834342	0.55747837	0.0033246388	0.01763491	1340296	0.6334556	0.19209115	0.17445326
Henry County	Ohio	0.4941857	0.5058143	0.97633445	0.0057052686	0.0040598996	0.07002533	504446	0.6335445	0.17702787	0.18942761
Cherokee County	Texas	0.5091869	0.4908131	0.8122198	0.1488256	0.015127399	0.21538658	919788	0.64453113	0.18237247	0.1730964
Iron County	Missouri	0.49516279	0.5048372	0.9627041	0.014650799	0.005778986	0.015228698	186884	0.6220008	0.17309669	0.2049025
Valley County	Nebraska	0.49484292	0.50515705	0.9848445	0.0022628007	0.0016050098	0.021496605	76012	0.62252015	0.15121296	0.2262669
St. Clair County	Missouri	0.5044179	0.49558207	0.9670654	0.0061144372	0.007897815	0.019744538	172706	0.60828805	0.15006427	0.24164766
Sierra County	New Mexico	0.50020427	0.4997957	0.93825954	0.0060809334	0.024523264	0.2892434	210494	0.58736116	0.12604159	0.28659725
Amherst County	Virginia	0.47903988	0.5209601	0.77542734	0.18952271	0.008803109	0.020749198	578432	0.61780643	0.18066774	0.20152585
Alexander County	North Carolina	0.50767064	0.49232933	0.9152762	0.056669712	0.004378969	0.044043586	669564	0.61919993	0.18946658	0.19133346
Gilchrist County	Florida	0.5192976	0.48070237	0.9227376	0.052998222	0.0060121287	0.051580146	306048	0.62373877	0.17909935	0.19716188
Cumberland County	Illinois	0.49946794	0.50053203	0.9804814	0.0042563975	0.001631619	0.008614138	197350	0.6272207	0.17741069	0.19536863
Poweshiek County	Iowa	0.4884982	0.5115018	0.951539	0.0140771605	0.0031651384	0.027757198	337426	0.62673295	0.17607416	0.19719286
Converse County	Wyoming	0.50784403	0.49215597	0.9629011	0.0069733574	0.010741028	0.07101585	252676	0.63796324	0.18542719	0.17660958
Dickens County	Texas	0.57196844	0.42803156	0.90351593	0.049940206	0.020664914	0.2935183	41810	0.6109304	0.18493183	0.20413777
Washington County	Pennsylvania	0.48820385	0.5117962	0.94239247	0.032484528	0.0013646673	0.013536688	3745968	0.6142284	0.17909336	0.20667823
Fluvanna County	Virginia	0.45812264	0.5418774	0.8166944	0.15284896	0.0025455542	0.031613726	466696	0.6201789	0.18980879	0.19001234
Jackson County	Mississippi	0.49243116	0.50756884	0.73644656	0.21832089	0.0043607964	0.05127103	2526144	0.6359792	0.19720848	0.16681235
Putnam County	New York	0.4987856	0.50121444	0.93078166	0.028564926	0.0030949148	0.12545338	1792618	0.62371516	0.18932757	0.18695728
Clinton County	Ohio	0.49180058	0.5081994	0.9505967	0.022422785	0.0025612405	0.014773532	754322	0.63539445	0.18664046	0.17796512
Williams County	Ohio	0.49557105	0.504429	0.97073	0.010850425	0.0030288543	0.039039556	673522	0.6282304	0.17951901	0.1922506
Union County	South Dakota	0.50315267	0.49684736	0.9589512	0.008878897	0.0066005103	0.025864614	264222	0.6379068	0.17848627	0.18360697
Allegheny County	Pennsylvania	0.48069343	0.51930654	0.81351936	0.13361254	0.0015358378	0.017544804	22099990	0.61055493	0.1961505	0.19329457
Mora County	New Mexico	0.5112803	0.48871967	0.9453311	0.009759777	0.027464109	0.80784553	84838	0.6120017	0.15717013	0.23082817
Covington County	Alabama	0.48348004	0.51651996	0.84912205	0.12583114	0.006305085	0.014389357	680086	0.6226168	0.17479701	0.20258614
Madison County	Nebraska	0.4964354	0.5035646	0.9432485	0.016256398	0.017226836	0.13704087	630644	0.6392656	0.18402141	0.176713
LaGrange County	Indiana	0.50391036	0.49608964	0.9825368	0.003960245	0.0024817535	0.037551925	681776	0.68361455	0.17383422	0.14255121
Carlton County	Minnesota	0.5221342	0.47786584	0.89632285	0.015099804	0.05986016	0.015447682	638154	0.62697405	0.18668221	0.18634373
McIntosh County	Georgia	0.4896407	0.5103593	0.62545806	0.35227084	0.005075222	0.018228244	253782	0.6097832	0.16667849	0.22353831
Sussex County	Delaware	0.48642883	0.5135712	0.8252576	0.12933728	0.012463324	0.0897619	3697248	0.60916877	0.1629228	0.22790843
Spencer County	Indiana	0.50402737	0.49597263	0.9786859	0.0070958254	0.0024345287	0.026321677	375432	0.6282256	0.17453493	0.19723944
Ottawa County	Kansas	0.51688945	0.48311052	0.97010094	0.009212438	0.0054428773	0.024511335	108766	0.6338838	0.16432525	0.201791
Nodaway County	Missouri	0.5045094	0.4954906	0.9448571	0.026442906	0.0027890126	0.014266135	417352	0.6302737	0.22354272	0.14618355
Dawson County	Nebraska	0.50708354	0.49291644	0.9176621	0.04291622	0.018477624	0.32381946	433822	0.65371513	0.18059942	0.16568546
Andrew County	Missouri	0.49335188	0.5066481	0.9736	0.006086884	0.003097961	0.019921878	311818	0.62873536	0.17851439	0.19275026
Dawson County	Montana	0.5117948	0.4882052	0.9545668	0.0038051659	0.019579746	0.02468541	166090	0.6228069	0.17749412	0.19969895
Barbour County	Alabama	0.5324121	0.46758786	0.50421584	0.475286	0.005823058	0.045966305	485312	0.6185402	0.20349796	0.17796181
Alamance County	North Carolina	0.47561777	0.52438223	0.75839883	0.19399916	0.013843295	0.11643536	2776940	0.6319924	0.19338624	0.17462134
McIntosh County	Oklahoma	0.49464512	0.5053549	0.7045522	0.032107316	0.18560119	0.022843476	363780	0.6132635	0.15419759	0.2325389
Malheur County	Oregon	0.54248124	0.45751876	0.92511564	0.014462318	0.019275874	0.32355106	554268	0.6415218	0.19170329	0.16677491
Kittson County	Minnesota	0.50323313	0.49676684	0.98349977	0.003146446	0.002824369	0.017763793	80726	0.6186854	0.14406759	0.23724699
Hancock County	Maine	0.4881149	0.5118851	0.96724886	0.0062042107	0.0044986135	0.012228885	980302	0.6010291	0.17030261	0.2286683
Jefferson County	Oregon	0.5182586	0.48174146	0.7626085	0.010226001	0.18797083	0.19615465	396636	0.6349298	0.17806755	0.18700269
Sullivan County	Pennsylvania	0.52	0.48	0.95474005	0.028920926	0.0043162955	0.016164264	114450	0.58633465	0.15390126	0.25976408
Rowan County	North Carolina	0.49362954	0.5063705	0.8037707	0.16498378	0.0055367025	0.07906825	2493542	0.6284201	0.1912761	0.18030377
Bayfield County	Wisconsin	0.5127482	0.48725182	0.8641304	0.004508506	0.10024578	0.013999319	270156	0.60136366	0.14449058	0.25414574
Sullivan County	Indiana	0.5432276	0.4567724	0.93877506	0.04510206	0.002794629	0.015577565	381446	0.61626023	0.20388731	0.17985246
Hampshire County	Massachusetts	0.4671153	0.53288466	0.8935115	0.029620746	0.002761762	0.050400242	2881494	0.61981946	0.20927513	0.17090544
Tangipahoa Parish	Louisiana	0.4848542	0.51514584	0.67248064	0.3032666	0.0037089065	0.03747502	2243788	0.642041	0.20271657	0.15524238
Isanti County	Minnesota	0.5048902	0.49510983	0.9621051	0.007376685	0.0050689275	0.01693324	688114	0.6373116	0.19220507	0.17048338
Carroll County	New Hampshire	0.4956517	0.50434834	0.9750611	0.003922237	0.0031167776	0.012025859	856654	0.5973497	0.15474743	0.24790289
Cibola County	New Mexico	0.50845736	0.49154264	0.5368382	0.012534689	0.4229777	0.37342402	492234	0.6366484	0.19750972	0.16584186
Wyandot County	Ohio	0.4943468	0.5056532	0.9787764	0.0029069337	0.0021357064	0.024446916	404550	0.63021135	0.1790854	0.19070326
Benton County	Mississippi	0.49308804	0.50691193	0.6174382	0.36806035	0.003113966	0.020195177	153502	0.6294055	0.18579562	0.1847989
Greenville County	South Carolina	0.48524544	0.51475453	0.77204734	0.18428247	0.005259973	0.08457161	8450614	0.6321944	0.20356627	0.1642393
Cherokee County	South Carolina	0.48628706	0.51371294	0.76867247	0.2058324	0.00448524	0.038962793	1006858	0.6353746	0.19352481	0.17110059
Graham County	North Carolina	0.4932604	0.50673956	0.90453964	0.002619532	0.07007884	0.026843846	157280	0.6176882	0.16841938	0.21389242
Cheshire County	New Hampshire	0.4889166	0.5110834	0.96307415	0.006420562	0.0029790597	0.015753498	1379630	0.61693424	0.18933482	0.19373092
Otero County	New Mexico	0.50946313	0.49053687	0.84174186	0.03935738	0.07411459	0.3585889	1168218	0.63451856	0.19501925	0.17046219
Kiowa County	Oklahoma	0.49661	0.50339	0.83945996	0.045077033	0.07393682	0.100210905	167846	0.62871325	0.16768943	0.20359735
Mitchell County	North Carolina	0.48951483	0.5104852	0.9700259	0.0052751	0.008172792	0.04439033	276772	0.6039231	0.16958724	0.22648968
Currituck County	North Carolina	0.49502224	0.50497776	0.9103912	0.058390494	0.0053294	0.033469725	437948	0.62557197	0.18779854	0.18662946
Duval County	Texas	0.515354	0.48464605	0.97300035	0.012032763	0.0064894725	0.888188	209262	0.64460343	0.18483528	0.1705613
Palm Beach County	Florida	0.4836467	0.5163533	0.7662459	0.18487456	0.00617669	0.20038986	24588250	0.6109525	0.18001285	0.20903468
Nemaha County	Kansas	0.5055161	0.4944839	0.97279084	0.006062261	0.006105953	0.014429274	183100	0.6414637	0.15920262	0.1993337
Throckmorton County	Texas	0.4882129	0.51178706	0.9695817	0.009125475	0.008157622	0.109021775	28930	0.62039405	0.15278257	0.22682336
Jewell County	Kansas	0.51092327	0.48907673	0.97928786	0.0021956307	0.0067332676	0.022578401	54654	0.6029751	0.13168295	0.26534197
Garfield County	Utah	0.5207532	0.47924677	0.94909996	0.004849703	0.021321217	0.052232612	91552	0.64092535	0.1599419	0.19913274
Ulster County	New York	0.49715024	0.50284976	0.88553566	0.06641484	0.004248472	0.09260885	3265174	0.6111276	0.19275267	0.19611971
Wayne County	Michigan	0.4805923	0.5194077	0.5440026	0.40070096	0.00466508	0.054707482	32190660	0.636952	0.19623137	0.16681668
Van Buren County	Iowa	0.50507355	0.49492645	0.9827604	0.0022797373	0.0016986277	0.012635406	134226	0.6281495	0.1596263	0.21222416
Freeborn County	Minnesota	0.49644253	0.5035575	0.9618298	0.010848339	0.003704661	0.09122728	557136	0.62001556	0.16658948	0.21339494
Lee County	Illinois	0.5265563	0.47344372	0.9245979	0.051362347	0.0030715861	0.054165877	634200	0.61512613	0.18960738	0.19526647
Franklin County	Indiana	0.5012459	0.49875408	0.98394567	0.0025692761	0.0019160704	0.010286782	413346	0.6382885	0.1784776	0.1832339
Martin County	Indiana	0.50632995	0.49367008	0.9824319	0.0022919662	0.0033082154	0.008205672	184994	0.6283988	0.1758165	0.19578473
St. Helena Parish	Louisiana	0.4900009	0.5099991	0.45274505	0.5316986	0.0039120205	0.012337127	196318	0.62932587	0.18217891	0.1884952
Jones County	Mississippi	0.4867224	0.5132776	0.6912733	0.28939784	0.0060268096	0.04399261	1225524	0.64266956	0.18549453	0.17183588
Roseau County	Minnesota	0.51183444	0.48816553	0.94036824	0.003596994	0.014281135	0.009202607	280790	0.63931406	0.17569713	0.18498878
Traill County	North Dakota	0.5037027	0.4962973	0.9656248	0.0066085043	0.009878409	0.029209316	145570	0.6285979	0.17039911	0.20100296
Skagway Municipality	Alaska	0.52048725	0.47951272	0.8945736	0.0057585826	0.047286823	0.035215948	18060	0.5784607	0.24263565	0.17890365
LaPorte County	Indiana	0.51679564	0.48320433	0.8583837	0.11171189	0.003960798	0.058278598	2001112	0.62314755	0.19516799	0.18168448
Howard County	Texas	0.5671358	0.4328642	0.8881163	0.06980549	0.015232602	0.39461347	644276	0.62597704	0.20905171	0.16497122
Chaves County	New Mexico	0.4964553	0.5035447	0.9267855	0.024875412	0.020553742	0.5375374	1181488	0.6543181	0.1821432	0.1635387
Linn County	Oregon	0.49407682	0.5059232	0.936055	0.006390563	0.015239757	0.081608705	2135336	0.62949157	0.18455502	0.18595341
Wilcox County	Georgia	0.5911135	0.4088865	0.6263056	0.35472217	0.0025189845	0.039062694	162764	0.6063687	0.21986434	0.17376693
