county,state,male,female,white,black,asian,hispanic,total_population,young,mid_age,senior
Lincoln,ME,0.500001,0.49999896,0.9550644,0.01924301,0.00380631,0.021210432,964714,0.6472965,0.19576268,0.15694082
Ramsey,ND,0.50071317,0.49928686,0.87191373,0.004722164,0.09061735,0.018657364,207532,0.62614924,0.17254207,0.20130871
Randall,TX,0.48924056,0.5107594,0.9293885,0.028725192,0.008630578,0.18233335,2258018,0.63869953,0.20185135,0.15944913
Monroe,IN,0.49856666,0.5014334,0.8790511,0.034275316,0.003019318,0.031302415,2542296,0.6202677,0.25005704,0.1296753
Ziebach,SD,0.49096647,0.5090335,0.23278107,0.003076923,0.7320316,0.03708087,50700,0.7008284,0.18566075,0.11351085
Wyoming,PA,0.5013304,0.49866962,0.975998,0.008156181,0.002372132,0.016893534,505874,0.6182172,0.17942017,0.20236264
La Paz,AZ,0.5122599,0.48774013,0.7787063,0.009795905,0.17422755,0.25116658,366888,0.597155,0.12528074,0.27756426
Tuscarawas,OH,0.49264103,0.50735897,0.97038764,0.008300005,0.003860133,0.021676037,1666264,0.62737596,0.17868057,0.19394346
Rock,NE,0.50208527,0.49791473,0.98439914,8.50E-04,0.007259809,0.006719185,25896,0.6086654,0.13913345,0.2522011
Lafayette,AR,0.48353228,0.51646775,0.61026645,0.37292546,0.003994009,0.020363394,132198,0.6203649,0.16616741,0.21346767
Madison,NY,0.49134976,0.50865024,0.9524825,0.018741453,0.007192484,0.019396149,1307476,0.62944865,0.18594758,0.18460377
Washington,IN,0.49881724,0.5011828,0.9828498,0.003306211,0.002274261,0.012077794,503900,0.6334094,0.1871542,0.1794364
Queen Anne's,ME,0.49648526,0.5035147,0.8995084,0.06790333,0.004226873,0.032788128,870620,0.625622,0.17895178,0.19542624
Johnson,GA,0.56226796,0.43773204,0.6396812,0.34713167,0.002354433,0.021246491,176688,0.6110262,0.20754664,0.18142715
Cedar,NE,0.50696665,0.49303338,0.98737735,0.001196096,0.003753706,0.01532021,157178,0.6370548,0.14811233,0.21483286
Pecos,TX,0.56505126,0.43494877,0.9306106,0.04091887,0.010629565,0.67850167,282608,0.63513416,0.21360329,0.15126252
Dubuque,IA,0.493624,0.506376,0.94110006,0.028261757,0.002334449,0.020940077,1715180,0.63301635,0.18723166,0.17975198
Hansford,TX,0.5030995,0.49690047,0.96312463,0.009049413,0.015587315,0.44678986,100338,0.66282964,0.1761546,0.16101576
Manatee,FL,0.48335096,0.51664907,0.86718136,0.09210136,0.005188446,0.15349704,6127076,0.60932636,0.1627272,0.22794642
Whatcom,WA,0.4954092,0.5045908,0.87861913,0.011394439,0.031967793,0.08439902,3711986,0.62139565,0.20800751,0.17059682
Lafayette,ME,0.49017054,0.50982946,0.72477764,0.23838876,0.003363201,0.023170443,903306,0.6320837,0.2384098,0.1295065
Lincoln,WA,0.50218934,0.4978107,0.9503649,0.003355884,0.017951313,0.02682576,187730,0.6210941,0.14134128,0.2375646
Barnwell,SC,0.4768052,0.5231948,0.53023005,0.44419092,0.004958694,0.020795492,399702,0.63888097,0.1791935,0.18192554
Grant,WI,0.5202458,0.4797542,0.97041076,0.012248667,0.002349621,0.013476339,926958,0.63239,0.19152756,0.17608242
Nottoway,VA,0.53253037,0.46746966,0.5789801,0.3973326,0.006255427,0.03835862,283274,0.61112565,0.1965588,0.19231556
Lake,IL,0.49917087,0.5008291,0.8283606,0.073658414,0.008533554,0.20471236,12653110,0.6468502,0.19503316,0.15811662
Taos,NM,0.49066162,0.5093384,0.8828773,0.00749027,0.07395504,0.5629102,593036,0.6087084,0.16570832,0.22558327
Stafford,KS,0.50539696,0.49460304,0.9572846,0.005243503,0.019081237,0.12750664,78192,0.62902856,0.15440199,0.21656947
Douglas,ME,0.5005508,0.49944916,0.97733706,0.004863085,0.003670138,0.01245595,657196,0.6181535,0.17034188,0.21150464
Tripp,SD,0.4934776,0.5065224,0.82943594,0.002404569,0.14150886,0.014407374,99810,0.6258291,0.15633704,0.21783389
St. Mary's,ME,0.4985786,0.5014214,0.7942424,0.14319572,0.004307169,0.04301336,1954416,0.6416986,0.20665406,0.15164734
Sheridan,ND,0.5027938,0.49720624,0.96706736,0.003132408,0.012529631,0.012952929,23624,0.5915171,0.13113783,0.27734506
Monroe,AR,0.47519267,0.52480733,0.5668865,0.40791443,0.005413028,0.020925628,140402,0.62269056,0.16231251,0.21499693
Wallace,KS,0.49580574,0.50419426,0.9701251,0.006622517,0.004709345,0.0732156,27180,0.63841057,0.14602649,0.21556291
Clay,IA,0.49089396,0.50910604,0.9744507,0.006135587,0.002644881,0.030328864,297934,0.62506795,0.17078614,0.20414588
Menominee,WI,0.49592444,0.5040756,0.11152586,0.006043524,0.8566822,0.051268376,78762,0.6812803,0.17117392,0.14754577
Jefferson,GA,0.48399514,0.51600486,0.4437542,0.54010636,0.001601831,0.03272984,297160,0.6344158,0.18353413,0.18205008
Monroe,KY,0.49675608,0.5032439,0.96546334,0.02197226,0.001089873,0.027483318,194518,0.625757,0.17734605,0.19689694
Lafayette,WI,0.50775594,0.49224406,0.97994953,0.003666561,0.005978806,0.03342186,302736,0.63829213,0.17091128,0.1907966
Burlington,NJ,0.49199778,0.5080022,0.7486278,0.17425564,0.00294286,0.070445605,8096886,0.6233262,0.19593595,0.18073788
Deer Lodge,MT,0.5310829,0.4689171,0.93213785,0.004395684,0.03463558,0.030071294,166072,0.6016005,0.17188329,0.22651622
Warren,ME,0.49899557,0.5010044,0.95020694,0.021638893,0.00532883,0.030685434,593376,0.633696,0.18143976,0.18486424
Bay,FL,0.49626884,0.5037312,0.8293573,0.11080188,0.007649138,0.053549703,3136824,0.6195869,0.20027678,0.18013634
Kanawha,WV,0.4814066,0.51859343,0.8909227,0.07444515,0.002049195,0.010099394,3438424,0.6133249,0.18493588,0.20173922
Tunica,ME,0.4711893,0.5288107,0.23120193,0.7496366,0.001990941,0.023048563,189860,0.66146636,0.20000526,0.13852839
Oscoda,ME,0.506708,0.49329197,0.974948,0.002198924,0.006989437,0.011531263,152802,0.60750514,0.13719061,0.25530425
Snyder,PA,0.49376202,0.506238,0.9717152,0.012020486,0.001530335,0.019602723,720104,0.6313727,0.1867758,0.1818515
Rockingham,NC,0.4821208,0.5178792,0.781948,0.19015267,0.005148956,0.057371512,1667134,0.61845,0.18138973,0.20016028
Putnam,IN,0.5288416,0.4711584,0.9364466,0.040011063,0.003227838,0.016827716,679712,0.6242129,0.20417324,0.17161386
Hancock,WV,0.48520058,0.5147994,0.9562876,0.024478627,0.001434094,0.011912883,545292,0.6087839,0.17320628,0.2180098
Franklin,WA,0.5183479,0.48165208,0.9114546,0.026471885,0.014612597,0.51637995,1515268,0.6827855,0.20969161,0.10752289
Meagher,MT,0.50835013,0.4916499,0.97465354,0.002368826,0.004796873,0.01711477,33772,0.6047021,0.13952386,0.25577402
Shackelford,TX,0.48448053,0.5155195,0.96387106,0.012974484,0.005888419,0.10921854,60118,0.63278884,0.16479257,0.20241858
Clark,OH,0.4846981,0.5153019,0.8743785,0.08942806,0.003043276,0.029523995,2467078,0.6291807,0.17954844,0.19127081
Billings,ND,0.5412678,0.45873222,0.961837,0.005821475,0.003751617,0.012936611,15460,0.601423,0.17930143,0.21927555
Garvin,OK,0.49165702,0.508343,0.8345924,0.026353894,0.0831515,0.07068845,495866,0.6354217,0.17955254,0.1850258
Las Animas,CO,0.51518685,0.48481318,0.91654575,0.016498426,0.034725614,0.42027014,266086,0.6138429,0.16811858,0.21803853
Le Flore,OK,0.5012907,0.49870932,0.7826618,0.0218019,0.13101764,0.06804029,901848,0.63454264,0.18464974,0.18080764
Red River,TX,0.4871648,0.5128352,0.7932984,0.17366034,0.013121395,0.06946414,227110,0.6146185,0.16325569,0.22212584
Sherman,OR,0.5067138,0.49328622,0.95631224,0.003212335,0.023193061,0.061419852,31130,0.6041118,0.15415998,0.24172823
Floyd,TX,0.49418387,0.5058161,0.9361384,0.03822791,0.011062223,0.5535921,112274,0.65336585,0.16491798,0.18171616
Montgomery,ME,0.48125663,0.51874334,0.6282989,0.18543619,0.006894214,0.17970264,18089662,0.629375,0.20389093,0.16673407
Boone,IN,0.49363917,0.5063608,0.95133144,0.012308557,0.002322159,0.024568735,1074862,0.6489642,0.18959737,0.1614384
Custer,SD,0.50239116,0.49760887,0.9374452,0.004649433,0.032984406,0.027059698,150556,0.5988868,0.13527857,0.26583463
Meade,KS,0.5071332,0.49286684,0.96433413,0.008188074,0.00994625,0.15652786,79628,0.65173054,0.16431406,0.18395539
Lake,OR,0.53064,0.46936,0.92820185,0.005514211,0.02239705,0.07293217,141090,0.6029201,0.16303778,0.23404211
Runnels,TX,0.49850738,0.5014926,0.9470514,0.022277938,0.01397019,0.32976022,188258,0.63431036,0.16221887,0.20347077
Athens,OH,0.4998582,0.5001418,0.9171681,0.027502451,0.003203124,0.017305413,1170732,0.62934726,0.2371781,0.13347462
North Slope Borough,AK,0.6232526,0.37674743,0.33555117,0.011974035,0.5340791,0.033545844,172540,0.63648427,0.22043005,0.14308566
Osceola,FL,0.4912131,0.5087869,0.80423224,0.13067877,0.007730738,0.4847428,5291862,0.6417575,0.21095693,0.14728558
Chesterfield,VA,0.4816129,0.5183871,0.70429456,0.2293343,0.005644597,0.07654478,5859054,0.6404737,0.19707976,0.16244653
Hernando,FL,0.47881648,0.52118355,0.91082835,0.054641232,0.004217283,0.11055387,3150844,0.6059897,0.15447035,0.23953995
Baltimore,ME,0.47316954,0.5268305,0.6445605,0.27251837,0.004088653,0.04648082,14715360,0.623096,0.19824108,0.17866291
Mason,TX,0.49697703,0.50302297,0.9745795,0.00692536,0.006128394,0.2301308,72776,0.61430967,0.13841102,0.24727932
Eastland,TX,0.49124628,0.5087537,0.9530881,0.020563208,0.010230272,0.15112297,331174,0.6308345,0.16171257,0.20745288
Bourbon,KS,0.49232686,0.50767314,0.9300509,0.03075226,0.00848184,0.022412032,268338,0.64326334,0.16787037,0.18886629
Valley,MT,0.50073373,0.4992663,0.87067366,0.00308308,0.0969688,0.018053805,134930,0.6251538,0.15249388,0.22235233
Grays Harbor,WA,0.5136048,0.4863952,0.8812077,0.012808782,0.05275759,0.09224889,1293956,0.6176153,0.17891644,0.20346828
Jackson,ME,0.4834959,0.5165041,0.7045217,0.24148162,0.00611778,0.0855142,12233196,0.63315845,0.20440243,0.16243915
Iron,ME,0.49516279,0.5048372,0.9627041,0.014650799,0.005778986,0.015228698,186884,0.6220008,0.17309669,0.2049025
Doniphan,KS,0.5029468,0.4970532,0.9290651,0.033100136,0.012621016,0.02423857,141510,0.6354321,0.17633383,0.18823405
Sullivan,TN,0.48410922,0.5158908,0.95458525,0.022389071,0.003288674,0.016100962,2821198,0.6117582,0.18037727,0.20786454
Walworth,WI,0.50039643,0.49960357,0.96246296,0.01136473,0.00434817,0.10673999,1849054,0.63014275,0.19354762,0.17630962
Pueblo,CO,0.4922215,0.5077785,0.9098778,0.023941772,0.030028546,0.42093617,2896444,0.63359004,0.18430531,0.18210468
Spalding,GA,0.48415098,0.515849,0.63706285,0.33264625,0.004283893,0.041483834,1152690,0.63575375,0.19285497,0.17139126
Franklin,ME,0.48819825,0.5118018,0.64215314,0.34712306,0.002057959,0.007783844,142860,0.63516027,0.1702576,0.1945821
Butler,NE,0.5034028,0.49659717,0.98295236,0.004228358,0.002698095,0.026779601,148994,0.63162273,0.1577983,0.21057895
Pope,IL,0.52794874,0.47205126,0.9140727,0.066035084,0.006894615,0.016776895,78322,0.6038661,0.16396415,0.23216976
Potter,PA,0.50083643,0.4991636,0.9807018,0.004614645,0.003217433,0.011280243,312050,0.61927897,0.16190355,0.2188175
Gallatin,KY,0.50288,0.49712002,0.9614447,0.014335011,0.002270251,0.048077423,154168,0.6425328,0.19428805,0.16317913
Morton,KS,0.49411514,0.5058849,0.9366217,0.009415793,0.013588701,0.20311719,56076,0.645499,0.16721949,0.18728155
Queens,NY,0.4845115,0.5154885,0.4968649,0.20900187,0.013288397,0.27824503,41012772,0.614088,0.22383271,0.16207924
Gwinnett,GA,0.49099398,0.509006,0.5937146,0.26039955,0.008792146,0.20391294,15229274,0.65486777,0.21863727,0.12649493
Columbia,NY,0.5025458,0.49745426,0.9106127,0.04919885,0.002646441,0.041450214,1122262,0.60702044,0.17225212,0.22072743
Hartford,CT,0.4844101,0.5155899,0.7747827,0.14911857,0.00486202,0.16252583,16117992,0.62422097,0.19616054,0.17961846
Baca,CO,0.49717245,0.5028276,0.9541606,0.007689776,0.016307112,0.09580802,66842,0.6174411,0.14712307,0.2354358
Comanche,OK,0.51741946,0.48258054,0.6666708,0.17862971,0.06278928,0.11970023,2245192,0.64131886,0.2238655,0.13481565
Mariposa,CA,0.5084691,0.4915309,0.90533215,0.009170214,0.03303883,0.09721171,322348,0.5954031,0.15305509,0.25154182
Union,OR,0.49307722,0.5069228,0.9382317,0.005963392,0.012215682,0.041998144,463830,0.62873465,0.17678675,0.19447859
Pike,PA,0.5005738,0.49942616,0.9049674,0.061572175,0.004142153,0.09629968,1021208,0.61853707,0.1701054,0.21135753
Jasper,IL,0.50053567,0.49946433,0.9869596,0.001658852,0.00182013,0.011035976,173614,0.6248632,0.17502044,0.20011635
Forest,PA,0.6712421,0.3287579,0.7961104,0.18937309,0.003980333,0.05734898,136672,0.5567051,0.23132756,0.21196733
Franklin,NC,0.4968437,0.5031563,0.69858694,0.2697282,0.009063829,0.07880709,1115864,0.63160384,0.19150004,0.17689611
Kent,TX,0.48844334,0.5115567,0.96031743,0.011835143,0.011138959,0.16736285,14364,0.6218324,0.1374269,0.24074075
Barbour,WV,0.49068874,0.50931126,0.9674421,0.009128938,0.00558874,0.007285914,301678,0.6225744,0.18377541,0.19365019
Hardeman,TN,0.5446476,0.45535243,0.56352514,0.41660723,0.002642861,0.015383131,476756,0.6133431,0.20852175,0.17813514
Menominee,ME,0.5043991,0.49560088,0.9513408,0.003994518,0.027910175,0.014345652,427586,0.6106771,0.16052677,0.22879608
Hancock,IA,0.50207394,0.49792606,0.9780242,0.006142065,0.00214374,0.036303993,200584,0.6258625,0.15983328,0.21430424
Lewis and Clark,MT,0.49411738,0.5058826,0.94373095,0.004500498,0.021587336,0.027810374,1169204,0.6238167,0.18333243,0.19285086
Barry,ME,0.49872035,0.50127965,0.9518746,0.004028868,0.011149442,0.082364514,642364,0.6285688,0.16857265,0.20285851
Otsego,NY,0.48502535,0.51497465,0.9488031,0.020338928,0.002292397,0.033106983,1107138,0.6167587,0.18608521,0.19715609
Saratoga,NY,0.49316874,0.5068312,0.9429542,0.016320677,0.002096627,0.026790349,4010250,0.6211847,0.19515716,0.18365812
Carbon,WY,0.5412086,0.45879138,0.94860196,0.010978635,0.01524184,0.17296635,283824,0.627949,0.19564237,0.17640862
Hodgeman,KS,0.4949798,0.5050202,0.9704559,0.010732833,0.00271206,0.06630121,34660,0.62781304,0.1456434,0.22654356
Middlesex,NJ,0.49161813,0.50838184,0.6330186,0.10894641,0.006035621,0.19347697,14814714,0.6271249,0.21184452,0.16103058
Wood,WI,0.49280787,0.50719213,0.95580214,0.00657443,0.008637467,0.024939353,1333956,0.62218094,0.17595933,0.20185973
Jackson,IL,0.5054232,0.4945768,0.7865635,0.14555019,0.005213716,0.041022632,1074090,0.6167863,0.23872301,0.14449069
Skagit,WA,0.49511692,0.5048831,0.9125106,0.008898716,0.027189173,0.1736921,2141882,0.62695706,0.17867184,0.19437112
Clallam,WA,0.49562028,0.5043797,0.8817524,0.01007595,0.055141974,0.05544461,1301912,0.599158,0.15237205,0.24846995
Duval,TX,0.515354,0.48464605,0.97300035,0.012032763,0.006489473,0.888188,209262,0.64460343,0.18483528,0.1705613
Clinton,ME,0.5024496,0.49755043,0.9577043,0.014567979,0.007569953,0.017718978,370676,0.6327116,0.17794786,0.18934056
Stanislaus,CA,0.49455708,0.5054429,0.8448626,0.032751646,0.018949244,0.4333801,9430244,0.65429306,0.2021621,0.14354485
Watauga,NC,0.5006255,0.49937454,0.9544587,0.017658085,0.003133712,0.03393076,936908,0.61305594,0.23397815,0.15296593
Dawes,NE,0.49585056,0.50414944,0.8990752,0.016256997,0.0399854,0.04065466,164360,0.6312667,0.19544901,0.17328425
Seminole,GA,0.47682855,0.5231715,0.6452822,0.33618063,0.001937861,0.027487028,156874,0.6242016,0.16412535,0.21167307
Watonwan,ME,0.49887243,0.50112754,0.9583855,0.010634139,0.011285618,0.21872652,199546,0.63482606,0.16598679,0.19918716
Stanton,NE,0.5014718,0.4985282,0.9723741,0.008647957,0.007002468,0.049968004,109390,0.6446019,0.17399214,0.18140598
Morrill,NE,0.50213486,0.49786514,0.9645318,0.002665763,0.015429798,0.14492263,88530,0.63281375,0.16384277,0.2033435
Jones,TX,0.6221113,0.37788865,0.8379251,0.12912497,0.012072412,0.26063675,361154,0.600849,0.23475304,0.16439801
Clark,WA,0.49384513,0.50615484,0.87872374,0.021168567,0.010622246,0.08215669,7929020,0.6404076,0.19699925,0.16259311
Clark,AR,0.47600028,0.52399975,0.73451734,0.23915945,0.005781952,0.0428069,410588,0.63233703,0.20369324,0.16396973
Russell,KS,0.49410418,0.50589585,0.95999426,0.009181904,0.00916599,0.023694722,125682,0.6170335,0.158909,0.22405754
Greene,TN,0.49103862,0.5089614,0.960101,0.020809533,0.002881942,0.025960134,1235972,0.6152162,0.18118048,0.20360331
Bladen,NC,0.47894642,0.5210536,0.6061759,0.34895155,0.027439522,0.07336068,625594,0.6228273,0.17657138,0.20060135
Burleson,TX,0.49604917,0.50395083,0.84892505,0.12540726,0.009261397,0.1928859,311832,0.62710047,0.16793658,0.20496292
Somerset,ME,0.5368619,0.4631381,0.5440459,0.42384684,0.00405113,0.034776807,470486,0.61313194,0.21692675,0.16994129
Becker,ME,0.5007755,0.49922448,0.88133746,0.005231797,0.077871345,0.015520438,594442,0.6332611,0.16318834,0.20355056
Greenwood,SC,0.46814546,0.53185457,0.6532848,0.31923148,0.004911963,0.05647962,1256524,0.63274395,0.191253,0.17600301
Gillespie,TX,0.48273778,0.5172622,0.9708908,0.005191812,0.011176636,0.21121256,456488,0.6092975,0.13945383,0.25124866
Stoddard,ME,0.48807052,0.51192945,0.9730042,0.009990847,0.004547045,0.014124861,537492,0.62407815,0.18124922,0.19467266
Tangipahoa Parish,LA,0.4848542,0.51514584,0.67248064,0.3032666,0.003708907,0.03747502,2243788,0.642041,0.20271657,0.15524238
Talbot,GA,0.47369933,0.52630067,0.4041723,0.5785473,0.00410473,0.018462839,118400,0.6103885,0.16559121,0.22402027
Spencer,IN,0.50402737,0.49597263,0.9786859,0.007095825,0.002434529,0.026321677,375432,0.6282256,0.17453493,0.19723944
Eau Claire,WI,0.49116954,0.5088305,0.9311342,0.00982977,0.005609601,0.020737756,1812250,0.62636834,0.21520872,0.15842296
Breathitt,KY,0.50014246,0.49985752,0.9815027,0.004062559,0.001196786,0.00773433,245658,0.62306947,0.1933664,0.18356414
Wilson,NC,0.4754395,0.5245605,0.5710058,0.39933038,0.005238323,0.09702421,1466500,0.6334361,0.18611524,0.18044868
Herkimer,NY,0.49158934,0.5084107,0.9680401,0.011774595,0.002670992,0.01822457,1151632,0.62265635,0.17684035,0.20050329
Wilkes,NC,0.49335685,0.5066432,0.9357778,0.04323641,0.003409674,0.057116468,1242934,0.6189846,0.17777291,0.2032425
Broomfield,CO,0.49575508,0.5042449,0.8923156,0.012620397,0.007760819,0.11618911,1075402,0.6361463,0.21459231,0.14926139
Wilson,KS,0.49111822,0.5088818,0.95372474,0.004899875,0.012559729,0.02590976,164494,0.63052756,0.1594344,0.21003805
Garrard,KY,0.4937556,0.5062444,0.96373737,0.021471048,0.001851404,0.023073854,305714,0.6237202,0.18519269,0.1910871
Northampton,VA,0.47931057,0.5206894,0.6119789,0.36057433,0.002741044,0.077738546,220354,0.6086479,0.15204625,0.23930584
George,ME,0.50611675,0.49388322,0.9026817,0.081093736,0.003807603,0.02199144,414434,0.6454128,0.19506845,0.15951876
Elliott,KY,0.5622645,0.43773547,0.95509046,0.034953516,0.001976879,0.009268411,139614,0.6059493,0.20702794,0.18702279
